x,y,z,ley,antes_max,Period,valor,valor_acum
24265,24655,3265,0.46,0,2.0,-12548.145176977041,-145727.57934763408
24265,24655,3275,0.45,0,3.0,-12464.164942972164,-158191.74429060624
24265,24655,3285,0.42,0,3.0,-16245.556619271596,-174437.30090987784
24265,24655,3295,0.42,0,3.0,-16245.556619271596,-190682.85752914945
24265,24665,3005,0.44,0,0.0,-19282.115339999997,-19282.115339999997
24265,24665,3015,0.44,0,0.0,-19282.115339999997,-38564.23067999999
24265,24665,3025,0.45,0,0.0,-17511.254325,-56075.485004999995
24265,24665,3035,0.49,0,0.0,-10427.810265000013,-66503.29527
24265,24665,3045,0.5,0,0.0,-8656.949249999996,-75160.24452
24265,24665,3055,0.51,0,1.0,-6148.293066964285,-81308.53758696427
24265,24665,3065,0.52,0,1.0,-4567.167160714287,-85875.70474767857
24265,24665,3075,0.54,0,1.0,-1404.9153482142933,-87280.62009589285
24265,24665,3085,0.57,0,1.0,3338.4623705357153,-83942.15772535713
24265,24665,3095,0.59,0,1.0,6500.7141830357095,-77441.44354232142
24265,24665,3105,0.58,0,1.0,4919.588276785712,-72521.8552655357
24265,24665,3115,0.55,0,1.0,176.21055803572094,-72345.64470749999
24265,24665,3125,0.52,0,1.0,-4567.167160714287,-76912.81186821428
24265,24665,3135,0.5,0,2.0,-6901.266940369894,-83814.07880858418
24265,24665,3145,0.51,0,2.0,-5489.547381218111,-89303.6261898023
24265,24665,3155,0.56,0,2.0,1569.0504145408195,-87734.57577526147
24265,24665,3165,0.57,0,2.0,2980.769973692603,-84753.80580156887
24265,24665,3175,0.58,0,2.0,4392.489532844385,-80361.31626872449
24265,24665,3185,0.64,0,2.0,12862.806887755085,-67498.50938096941
24265,24665,3195,0.7,0,2.0,21333.124242665785,-46165.38513830362
24265,24665,3205,0.64,0,2.0,12862.806887755085,-33302.57825054854
24265,24665,3215,0.55,0,2.0,157.33085538903654,-33145.2473951595
24265,24665,3225,0.55,0,2.0,157.33085538903654,-32987.916539770464
24265,24665,3235,0.55,0,2.0,157.33085538903654,-32830.585684381425
24265,24665,3245,0.53,0,2.0,-2666.108262914545,-35496.69394729597
24265,24665,3255,0.55,0,2.0,157.33085538903654,-35339.36309190693
24265,24665,3265,0.5,0,2.0,-6901.266940369894,-42240.63003227683
24265,24665,3275,0.45,0,3.0,-12464.164942972164,-54704.794975248995
24265,24665,3285,0.43,0,3.0,-14985.092727171785,-69689.88770242078
24265,24665,3295,0.43,0,3.0,-14985.092727171785,-84674.98042959256
24265,24675,3005,0.56,1,0.0,1968.2168400000044,1968.2168400000044
24265,24675,3015,0.56,1,0.0,1968.2168400000044,3936.4336800000087
24265,24675,3025,0.57,1,0.0,3739.0778550000014,7675.511535000011
24265,24675,3035,0.57,1,0.0,3739.0778550000014,11414.589390000012
24265,24675,3045,0.56,1,0.0,1968.2168400000044,13382.806230000017
24265,24675,3055,0.55,1,1.0,176.21055803572094,13559.016788035737
24265,24675,3065,0.55,1,1.0,176.21055803572094,13735.227346071457
24265,24675,3075,0.55,1,1.0,176.21055803572094,13911.437904107177
24265,24675,3085,0.56,1,1.0,1757.336464285718,15668.774368392895
24265,24675,3095,0.57,1,1.0,3338.4623705357153,19007.23673892861
24265,24675,3105,0.56,1,1.0,1757.336464285718,20764.573203214328
24265,24675,3115,0.53,1,1.0,-2986.0412544642904,17778.53194875004
24265,24675,3125,0.52,1,1.0,-4567.167160714287,13211.364788035751
24265,24675,3135,0.53,1,2.0,-2666.108262914545,10545.256525121207
24265,24675,3145,0.54,1,2.0,-1254.388703762762,9290.867821358446
24265,24675,3155,0.56,1,2.0,1569.0504145408195,10859.918235899266
24265,24675,3165,0.57,1,2.0,2980.769973692603,13840.688209591868
24265,24675,3175,0.58,1,2.0,4392.489532844385,18233.17774243625
24265,24675,3185,0.67,1,2.0,17097.965565210467,35331.14330764672
24265,24675,3195,0.66,1,2.0,15686.246006058667,51017.38931370539
24265,24675,3205,0.61,1,2.0,8627.64821029972,59645.03752400511
24265,24675,3215,0.54,0,2.0,-1254.388703762762,58390.64882024234
24265,24675,3225,0.53,0,2.0,-2666.108262914545,55724.5405573278
24265,24675,3235,0.51,0,2.0,-5489.547381218111,50234.99317610969
